Transaction Number,Vendor,Category,Amount
5201138588,ACTIVIST GROUP LTD,People and Recruitment,"£14,756"
5201140718,RINGWAY JACOBS LIMITED,Public Realm,"£14,738"
1900802735,PURDY CONTRACTS LTD,"Construction, Property and Fac Man","£14,732"
8001848973,AFTER CARE (N W) LIMITED,Temporary Accommodation,"£14,614"
8001810633,CASTLE HOMES CARE LIMITED,Temporary Accommodation,"£14,400"
8001810644,HILLCREST CARE SERVICES LTD,Temporary Accommodation,"£14,400"
5201139159,IRG ADVISORS LLP,People and Recruitment,"£14,300"
1900804971,VAROSI ESTATES LIMITED,Temporary Accommodation,"£14,240"
1900803533,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£14,238"
8001848949,CONTINUUM GROUP & EDUCATION GROUP L,Temporary Accommodation,"£14,171"
8001848955,CONTINUUM GROUP & EDUCATION GROUP L,Temporary Accommodation,"£14,171"
1900803421,IRG ADVISORS LLP,People and Recruitment,"£14,138"
1900804972,VAROSI ESTATES LIMITED,Temporary Accommodation,"£14,072"
1900802503,PENNA PLC,People and Recruitment,"£14,040"
1900804011,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£14,003"
8001848968,4D CARE LTD,Temporary Accommodation,"£13,972"
1900804499,BRAKE BROS FOODSERVICE LTD,Food and Drink,"£13,870"
5201138646,UNITED GUARDING SERVICES LTD,General,"£13,850"
5201140759,DELL CORPORATION LTD,IT and Telecoms,"£13,800"
8001810622,4D CARE LTD,Temporary Accommodation,"£13,800"
5201138409,DIRECT SURVEILLANCE SOLUTIONS LTD,"Construction, Property and Fac Man","£13,799"
8001810646,CASTLE HOMES CARE LIMITED,Temporary Accommodation,"£13,790"
1900804967,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,735"
1900804485,BRAKE BROS FOODSERVICE LTD,Food and Drink,"£13,722"
5201140798,COFELY WORKPLACE LTD,General,"£13,666"
8001848493,TACT,Children and Education,"£13,661"
1900804439,BRAKE BROS FOODSERVICE LTD,Food and Drink,"£13,657"
5201139379,STAR CARS LTD,Transport & Travel,"£13,617"
1900804969,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,614"
1900804529,BRAKE BROS FOODSERVICE LTD,Food and Drink,"£13,610"
8001810638,CHARTWELL CARE PLC,Temporary Accommodation,"£13,600"
1900805037,TRANSITIONAL CARE LTD,General,"£13,500"
5201141264,WHITTINGTON HOSPITAL NHS TRUST,Public Health,"£13,444"
5201140716,RINGWAY JACOBS LIMITED,Public Realm,"£13,356"
8001848495,THE NATIONAL FOSTERING AGENCY LTD,Children and Education,"£13,335"
1900803386,CRESSEY OASIS EDUCATION LIMITED,General,"£13,300"
5201141505,BRAKE BROS LIMITED,Food and Drink,"£13,297"
1900804359,CHG-MERIDIAN COMPUTER LEASING UK LT,Finance,"£13,274"
8001848959,ARNFIELD CARE LTD,Temporary Accommodation,"£13,264"
1900804310,PENNA PLC,People and Recruitment,"£13,260"
1900803177,STACE LLP,"Construction, Property and Fac Man","£13,200"
5201140062,GATENBYSANDERSON LTD,Communication,"£13,200"
5201140631,CAPITA BUSINESS SERVICES LTD NO1,People and Recruitment,"£13,096"
8001843805,FITZROY SUPPORT,Temporary Accommodation,"£12,964"
1900803422,TRANSITIONAL CARE LTD,General,"£12,946"
1900803312,HOMERTON UNI HOSP NHS FOUNDATION TR,Public Health,"£12,920"
1900803605,LYRECO UK LTD,General,"£12,919"
1900804193,GATENBYSANDERSON LTD,People and Recruitment,"£12,825"
8001847514,CHOICE SUPPORT,Temporary Accommodation,"£12,819"
8001810623,CONTINUUM GROUP & EDUCATION GROUP L,Temporary Accommodation,"£12,800"
8001810630,CONTINUUM GROUP & EDUCATION GROUP L,Temporary Accommodation,"£12,800"
5201138687,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£12,798"
1900802270,WING PARKING LTD,Public Realm,"£12,791"
5201138615,PENNA PLC,People and Recruitment,"£12,760"
1900804477,OAKRAY LTD,"Construction, Property and Fac Man","£12,702"
5201141512,RB OF KENSINGTON AND CHELSEA,Social care,"£12,684"
8001850520,HAIL LTD,Social care,"£12,625"
8001810645,4D CARE LTD,Temporary Accommodation,"£12,620"
5201138981,VOLKERHIGHWAYS LTD,Public Realm,"£12,612"
200344537,METROPOLITAN SUPPORT TRUST,Social care,"£12,502"
1900804178,RINGWAY JACOBS LIMITED,Public Realm,"£12,461"
1900804406,GATENBYSANDERSON LTD,People and Recruitment,"£12,420"
8001848961,FIVE RIVERS CHILD CARE LTD,Temporary Accommodation,"£12,400"
8001810624,BENJAMIN UK LTD,Temporary Accommodation,"£12,274"
1900802286,SOUNDINGS (CONSTRUCTION) LTD,People and Recruitment,"£12,270"
1900804419,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£12,234"
1900804544,BRAKE BROS FOODSERVICE LTD,Food and Drink,"£12,186"
1900803894,VAROSI ESTATES LIMITED,Temporary Accommodation,"£12,109"
1900803891,VAROSI ESTATES LIMITED,Temporary Accommodation,"£12,089"
5201138702,SOUTHERN LANDSCAPE AND CONSTRUCTION,"Construction, Property and Fac Man","£12,000"
1900804844,PLEXUS CLIENT ACCOUNT,Finance,"£12,000"
5201140719,MEGANEXUS LTD,IT and Telecoms,"£12,000"
5201141243,IMPOWER CONSULTING LTD,People and Recruitment,"£12,000"
1900801437,ADVENTURE PLAYGROUND ENGINEERS LTD,General,"£12,000"
1900803892,VAROSI ESTATES LIMITED,Temporary Accommodation,"£11,993"
1900802671,INFOTECH NETWORK SOLUTIONS LTD,IT and Telecoms,"£11,990"
1900803893,VAROSI ESTATES LIMITED,Temporary Accommodation,"£11,982"
8001810636,ARNFIELD CARE LTD,Temporary Accommodation,"£11,980"
200344579,SOLACE WOMEN'S AID,Social care,"£11,912"
1900804284,HARINGEY ADVISORY GRP ON ALCOHOL,Public Health,"£11,903"
5201138765,EFFECTABLE CONSTRUCTION SERVICES LT,Social care,"£11,871"
1900804026,VIRGIN MEDIA PAYMENTS LIMITED,IT and Telecoms,"£11,867"
8001817501,NAS SERVICES LTD,Social care,"£11,800"
1900802636,THE BROOK SPECIAL PRIMARY SCHOOL,Children and Education,"£11,736"
1900804475,LOVELL PARTNERSHIPS LTD,"Construction, Property and Fac Man","£11,729"
5201139059,RINGWAY JACOBS LIMITED,Public Realm,"£11,701"
1900803762,BT PAYMENT SERVICES LTD,IT and Telecoms,"£11,659"
8001847511,PROGRESS HOMES T/A BLAKE,Temporary Accommodation,"£11,592"
5201141613,THE PLANNING INSPECTORATE,People and Recruitment,"£11,573"
1900804480,AGILISYS PROFESSIONAL SERVICES,People and Recruitment,"£11,551"
8001819549,THEMICARE LTD,"Construction, Property and Fac Man","£11,534"
1900803734,OPM,People and Recruitment,"£11,400"
1900803444,KISHARON,General,"£11,400"
