Transaction,Vendor,Category,  Amount  
8001477021,ARAN HOMES LIMITED,Temporary Accommodation,"£1,396.52"
8001477023,ARAN HOMES LIMITED,Temporary Accommodation,"£1,396.52"
8001496441,ARAN HOMES LIMITED,Temporary Accommodation,"£1,396.52"
8001496483,ARAN HOMES LIMITED,Temporary Accommodation,"£1,396.52"
8001497554,ADR CARE HOMES LTD,Temporary Accommodation,"£1,395.88"
8001481801,PHOENIX COMMUNITY CARE LTD,"Construction, Property and Fac Man","£1,395.60"
8001481808,PHOENIX COMMUNITY CARE LTD,"Construction, Property and Fac Man","£1,395.60"
8001481804,PHOENIX COMMUNITY CARE LTD,"Construction, Property and Fac Man","£1,395.60"
1900783281,VAROSI ESTATES LIMITED,Temporary Accommodation,"£1,395.00"
8001480482,ATLANTIC LODGE  LTD,"Construction, Property and Fac Man","£1,394.24"
8001492663,BUPA CARE HOMES (AKW) LIMITED,Temporary Accommodation,"£1,390.49"
8001496723,METHODIST HOMES FOR THE AGED,Temporary Accommodation,"£1,390.45"
8001496908,WGC HOUSING ASSOCIATION LTD,Temporary Accommodation,"£1,388.44"
8001488766,MARCUS & MARCUS LTD,Social care,"£1,388.00"
8001481960,L.M. KENDON SETTLEMENT,Temporary Accommodation,"£1,386.72"
8001477336,B&M INVESTMENTS LIMITED,Temporary Accommodation,"£1,386.47"
1900783936,PREMIER CAREWAITING LTD,General,"£1,386.00"
1900783242,HOLYLAND LETTINGS LTD,Temporary Accommodation,"£1,386.00"
1900783243,HOLYLAND LETTINGS LTD,Temporary Accommodation,"£1,386.00"
8001476838,GRACE EYRE FOUNDATION,Social care,"£1,385.62"
8001477126,MAISON MOTI LTD,Social care,"£1,384.84"
8001494061,MAISON MOTI LTD,Social care,"£1,384.84"
8001480681,AFTER CARE (N W) LIMITED,"Construction, Property and Fac Man","£1,384.00"
8001482411,SEVACARE (UK) LTD,Social care,"£1,381.27"
8001484988,GATEWAY LEGAL & PROF SRVS (UK) LTD,"Construction, Property and Fac Man","£1,380.00"
8001484995,GATEWAY LEGAL & PROF SRVS (UK) LTD,"Construction, Property and Fac Man","£1,380.00"
8001484983,GATEWAY LEGAL & PROF SRVS (UK) LTD,"Construction, Property and Fac Man","£1,380.00"
8001480585,LOUISIANNA PROPERTIES LTD,"Construction, Property and Fac Man","£1,380.00"
8001486941,SAPH LTD,Social care,"£1,379.28"
1900782811,THE PLACEMENT GROUP (UK) LTD,People and Recruitment,"£1,378.50"
