Transaction,Vendor,Category,  Amount  
1900787482,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,975"
1900788341,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,925"
1900788005,PURDY CONTRACTS LTD,"Construction, Property and Fac Man","£13,813"
8001531421,METROPOLITAN HOUSING TRUST LTD,Temporary Accommodation,"£13,735"
1900787163,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,704"
1900788340,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,619"
1900788342,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,610"
5201115791,MIDLAND FORESTRY LTD,Public Realm,"£13,593"
1900787161,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,485"
1900787486,VAROSI ESTATES LIMITED,Temporary Accommodation,"£13,466"
1900787902,CORNERWAYS CHILDRENS SERVICES LIMIT,Children and Education,"£13,456"
1900787435,LYRECO UK LTD,General,"£13,435"
5201116159,LYNCADE LTD t/a CAVENDISH CARS,Travel,"£13,308"
8001540254,ARNFIELD CARE LTD,Temporary Accommodation,"£13,264"
1900787166,VAROSI ESTATES LIMITED,General,"£13,174"
5201117751,NLI SCHOOL LTD,Children and Education,"£13,030"
1900787481,VAROSI ESTATES LIMITED,Temporary Accommodation,"£12,970"
1900787484,VAROSI ESTATES LIMITED,Temporary Accommodation,"£12,967"
5201117750,NLI SCHOOL LTD,Children and Education,"£12,815"
5201117748,NAS SERVICES LTD,Children and Education,"£12,677"
5201112112,SINCLAIR KNIGHT MERZ (EUROPE) LIMIT,Public Realm,"£12,543"
5201115914,BTCV,People and Recruitment,"£12,500"
1900788447,GREEN PARK INTERIM & EXECUTIVE LTD,People and Recruitment,"£12,500"
1900788590,IRG ADVISORS LLP,Children and Education,"£12,434"
5201117848,VOICEABILITY ADVOCACY,General,"£12,404"
8001540251,RUSHCLIFFE CARE GROUP,Temporary Accommodation,"£12,400"
5201117081,CITY OF LONDON,Public Realm,"£12,301"
1900787170,VAROSI ESTATES LIMITED,General,"£12,284"
1900788343,VAROSI ESTATES LIMITED,Temporary Accommodation,"£12,085"
1900787027,BRITISH TELECOMMUNICATION PLC,IT and Telecoms,"£12,026"
5201115695,FRANKHAM CONSULTANCY GROUP LTD,"Construction, Property and Fac Man","£12,000"
5201117203,GATENBYSANDERSON LTD,Communication,"£12,000"
5201116724,GATENBYSANDERSON LTD,Communication,"£12,000"
8001540259,CHARTWELL CARE PLC,Temporary Accommodation,"£11,957"
1900787477,OMEGA LETTINGS LTD,Temporary Accommodation,"£11,816"
8001535542,NAS SERVICES LTD,Social Care,"£11,800"
5201115900,IRG ADVISORS LLP,People and Recruitment,"£11,700"
5201117841,TEAM (ENERGY AUDITING AGENCY LTD),Energy and Utilities,"£11,504"
1900786831,IRG ADVISORS LLP,People and Recruitment,"£11,495"
8001539132,HILLCREST CARE SERVICES LTD,Children and Education,"£11,479"
1900787504,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£11,464"
8001528423,NAS SERVICES LTD,Social Care,"£11,420"
5201116198,UNITED GUARDING SERVICES LTD,General,"£11,299"
5201116164,B & L COACHES,Travel,"£11,081"
5201115015,HARINGEY MENCAP LIMITED,Social Care,"£11,075"
8001540248,AFTER CARE (N W) LIMITED,Temporary Accommodation,"£11,071"
1900788011,GATENBYSANDERSON LTD,People and Recruitment,"£11,050"
5201114743,THE COUNCIL OF ASIAN PEOPLE,Children and Education,"£10,980"
1900787316,P&E HARINGEY LODGE LIMITED,Temporary Accommodation,"£10,825"
8001530241,EDENVALE CARE LIMITED,Temporary Accommodation,"£10,592"
1900787907,MEDWAY COUNCIL,Children and Education,"£10,586"
8001535601,MARCUS & MARCUS LTD,Social Care,"£10,424"
1900787026,VIRGIN MEDIA PAYMENTS LIMITED,IT and Telecoms,"£10,424"
1900784565,PLEXUS CLIENT ACCOUNT,Finance,"£10,420"
5201115640,URBAN FUTURES LONDON LIMITED,General,"£10,400"
1900787986,CIPFA BUSINESS LIMITED,People and Recruitment,"£10,400"
8001540249,LONDON BOROUGH OF ISLINGTON,Temporary Accommodation,"£10,382"
1900787927,GREEN PARK INTERIM & EXECUTIVE LTD,People and Recruitment,"£10,350"
8001543934,AMS CARE LIMITED,Temporary Accommodation,"£10,163"
1900787018,GEORGE LONDON PROPERTY SRVCS LTD,Temporary Accommodation,"£10,111"
1900787113,LONDON BOROUGH OF CROYDON,Finance,"£9,840"
5201115888,EFFECTABLE CONSTRUCTION SERVICES LT,Social Care,"£9,808"
1900786564,DSI BILLING SERVICES,General,"£9,785"
8001521863,CONSENSA CARE LTD,Temporary Accommodation,"£9,674"
8001525482,VINEYARD (UK) SERVICES LTD,Social Care,"£9,660"
1900787269,TROWERS & HAMLINS LLP,"Construction, Property and Fac Man","£9,612"
1900786893,ALLPAY LTD,General,"£9,600"
5201117695,BME CARERS SUPPORT SERVICE,Social Care,"£9,575"
5201117696,BME CARERS SUPPORT SERVICE,Social Care,"£9,575"
1900787984,CIPFA BUSINESS LIMITED,People and Recruitment,"£9,520"
1900787906,NORTH SOMERSET COUNCIL,Children and Education,"£9,467"
5201117027,UPSONS,General,"£9,454"
8001529030,YOUR LIFESTYLE LLP,"Construction, Property and Fac Man","£9,429"
5201117743,FAIRLEY HOUSE SCHOOL,Children and Education,"£9,304"
5201117749,FAIRLEY HOUSE SCHOOL,Children and Education,"£9,304"
1900787314,WHITTINGTON HOSPITAL NHS TRUST,General,"£9,251"
8001540227,HILLCREST CARE SERVICES LTD,Children and Education,"£9,121"
5201117410,DELOITTE LLP,People and Recruitment,"£9,100"
1900788640,POTTER RAPER PARTNERSHIP,"Construction, Property and Fac Man","£9,000"
5201117212,PWP FS PRINT AND DESIGN,Communication,"£8,990"
1900788018,STOR-A-FILE LTD,General,"£8,928"
1900788095,ALPHA PLANNING LTD,People and Recruitment,"£8,925"
5201115045,TFL SURFACE TRANSPORT,Public Realm,"£8,904"
5201116162,LYNCADE LTD t/a CAVENDISH CARS,Travel,"£8,884"
1900786631,D LANGUAGES LTD,Communication,"£8,873"
8001540242,LITTLE GEMS CARE HOME LTD,Temporary Accommodation,"£8,857"
5201117150,FOSTERING NETWORK,Communication,"£8,832"
1900788112,LONDON BOROUGH OF BARNET,"Construction, Property and Fac Man","£8,750"
5201116731,GATENBYSANDERSON LTD,Communication,"£8,610"
8001525299,SEVACARE (UK) LTD,Social Care,"£8,575"
8001540257,GOLD ORCHID LTD T/A CARLTON VALE,Temporary Accommodation,"£8,569"
8001515579,LIFE STYLE CARE (2011) PLC,Temporary Accommodation,"£8,545"
5201115995,CUTTLE CONSTRUCTION LTD,"Construction, Property and Fac Man","£8,499"
5201115680,MONTERPOINT TECHNOLOGIES LIMITED,IT and Telecoms,"£8,450"
1900788046,HUMAN MANAGEMENT ASSISTANCE LIMITED,General,"£8,362"
1900787313,WHITTINGTON HOSPITAL NHS TRUST,People and Recruitment,"£8,333"
5201114615,THE HARINGTON GARDENERS,"Construction, Property and Fac Man","£8,294"
1900788538,STEP BY STEP,Children and Education,"£8,283"
5201116923,INTUITIVE RECOVERY LTD,Social Care,"£8,260"
5201116921,INTUITIVE RECOVERY LTD,Social Care,"£8,260"
1900787309,LUBAVITCH GIRLS PRIMARY SCHOOL,Children and Education,"£8,243"
1900788665,D LANGUAGES LTD,Communication,"£8,220"
1900787355,TREKDEAN PROPERTY MAINTENANCE LTD,"Construction, Property and Fac Man","£8,218"
5201116200,UNITED GUARDING SERVICES LTD,General,"£8,201"
5201116199,UNITED GUARDING SERVICES LTD,General,"£8,201"
1900787333,GATENBYSANDERSON LTD,Communication,"£8,200"
1900788044,GATENBYSANDERSON LTD,People and Recruitment,"£8,123"
