Transaction,Vendor,Category,Amount
8001432529,REDACTED PERSONAL DATA,Temporary Accommodation,"£5,378.52"
8001432610,APOLLO CARE & SUPPORTED HOUSING LTD,Temporary Accommodation,"£5,328.60"
200332099,NIA PROJECT,Social Care,"£5,313.46"
200332612,NIA PROJECT,Social Care,"£5,313.46"
1900775255,D LANGUAGES LTD,Communication,"£5,309.37"
5201100238,UK POWER NETWORKS (OPERATIONS) LTD,Public Realm,"£5,309.00"
5201100261,EFFECTABLE CONSTRUCTION SERVICES LT,Social Care,"£5,303.20"
8001423294,MAGICARE LTD,Temporary Accommodation,"£5,289.85"
5201099621,JONATHAN ROBERTS CONSULTING LTD,Recruitment and People,"£5,286.15"
8001432803,CMG LTD,Temporary Accommodation,"£5,275.20"
8001435609,HILLFIELD CHILDREN'S HOME LTD,Temporary Accommodation,"£5,261.32"
8001432735,CONNIFIERS CARE LIMITED,Temporary Accommodation,"£5,260.00"
8001432371,DIMENSIONS (UK) LIMITED,Temporary Accommodation,"£5,259.08"
8001432778,CRAEGMOOR HEALTHCARE,Temporary Accommodation,"£5,253.00"
5201100866,ASSERSON LAW OFFICES,Legal,"£5,250.00"
5201100426,DELOITTE LLP,People and Recruitment,"£5,250.00"
200332122,WILLOW HOUSING & CARE,Social Care,"£5,216.44"
200332635,WILLOW HOUSING & CARE,Social Care,"£5,216.44"
1900775688,JLT CONSTRUCTION,"Construction, Property and Fac Man","£5,200.00"
1900776382,JLT CONSTRUCTION,"Construction, Property and Fac Man","£5,200.00"
8001435320,INTEGRATED SERVICES PROGRAMME,Children and Education,"£5,192.04"
8001432582,CHOICE SUPPORT,Temporary Accommodation,"£5,189.20"
8001423155,LIVABILITY,Temporary Accommodation,"£5,188.66"
8001435559,THE FOSTERING FOUNDATION LTD,Children and Education,"£5,180.00"
1900775511,TOTTENHAM GREEN COMMUNITY NURSERY,General,"£5,166.00"
1900776194,TOTTENHAM GREEN UNDER FIVES CENTRE,General,"£5,166.00"
1900775106,PREMIER CAREWAITING LTD,General,"£5,152.00"
1900775117,PREMIER CAREWAITING LTD,General,"£5,152.00"
1900776391,PREMIER CAREWAITING LTD,Social Care,"£5,152.00"
1900775101,SAPH LTD,General,"£5,150.50"
5201100795,BARNARDO SERVICES LTD,Children and Education,"£5,150.00"
5201100796,BARNARDO SERVICES LTD,Children and Education,"£5,150.00"
1900775107,SAPH LTD,General,"£5,136.50"
1900776406,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£5,100.00"
5201099586,EFFECTABLE CONSTRUCTION SERVICES LT,Social Care,"£5,088.84"
5201100854,EFFECTABLE CONSTRUCTION SERVICES LT,Social Care,"£5,061.96"
1900775719,EXPERIAN LTD,Learning and Development,"£5,041.80"
8001432774,APOLLO CARE & SUPPORTED HOUSING LTD,Social Care,"£5,040.00"
200332137,SOLACE WOMEN'S AID,"Construction, Property and Fac Man","£5,040.00"
200332650,SOLACE WOMEN'S AID,"Construction, Property and Fac Man","£5,040.00"
8001435498,FOSTER CARE ASSOCIATES LIMITED,Children and Education,"£5,029.60"
8001429764,SEVACARE (UK) LTD,Social Care,"£5,027.44"
8001409381,CARE R US LTD,"Construction, Property and Fac Man","£5,010.00"
5201099964,DIAMOND BUILD PLC,"Construction, Property and Fac Man","£5,000.00"
5201100317,HARINGEY ADVISORY GRP ON ALCOHOL,General,"£5,000.00"
1900775849,PLEXUS CLIENT ACCOUNT,Finance,"£5,000.00"
1900775158,THE WIGMORE HALL TRUST,General,"£5,000.00"
1900776179,REDACTED PERSONAL DATA,General,"£4,993.75"
5201099284,KABA (UK) LTD,"Construction, Property and Fac Man","£4,988.00"
5201100855,HARINGEY SHED,Sport and Leisure,"£4,982.00"
1900775454,ALLPAY LIMITED,General,"£4,979.87"
5201099620,JONATHAN ROBERTS CONSULTING LTD,Recruitment and People,"£4,979.32"
8001432567,ASHDENE HOUSE LTD,Temporary Accommodation,"£4,970.24"
5201101416,VOLKERHIGHWAYS LTD,Public Realm,"£4,958.46"
8001418786,TY CONNECTIONS LTD,Children and Education,"£4,950.00"
8001435377,INTEGRATED SERVICES PROGRAMME,Children and Education,"£4,932.44"
8001435508,INTEGRATED SERVICES PROGRAMME,Children and Education,"£4,932.44"
8001435561,INTEGRATED SERVICES PROGRAMME,Children and Education,"£4,932.44"
8001435509,INTEGRATED SERVICES PROGRAMME,Children and Education,"£4,932.04"
8001432507,BRAIN INJURY REHABILITATION TRUST,Social Care,"£4,927.16"
1900775503,SAPH LTD,General,"£4,901.82"
1900776273,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£4,880.50"
8001432505,BEECH LODGE,Temporary Accommodation,"£4,880.00"
5201099921,HARINGEY ADVISORY GRP ON ALCOHOL,Social Care,"£4,877.75"
5201101626,EFFECTABLE CONSTRUCTION SERVICES LT,Social Care,"£4,859.51"
8001418787,TY CONNECTIONS LTD,Children and Education,"£4,857.07"
200332111,CYPRIOT ELDERLY & DISABLED GROUP,Social Care,"£4,853.23"
200332113,HARINGEY SOMALI COMMUNIT & CULTURAL,Social Care,"£4,853.23"
200332114,KURDISH ADVICE CENTRE,Social Care,"£4,853.23"
200332117,TURKISH CYPRIOT WOMEN'S PROJECT,Social Care,"£4,853.23"
1900775148,TECHNOGYM UK LTD,"Construction, Property and Fac Man","£4,830.00"
200332109,DIMENSIONS (UK) LIMITED,Social Care,"£4,800.00"
